SL NO,NAME,COUNTRY,INNINGS,RUNS,BALLSFACED,OUTS,AVG,STRIKERATE,HIGHESTSCORE,FIFTIES,HUNDREDS,FOURS,SIXES,DOTPERCENTAGE,BOWLINGINNINGS,OVERS,BOWLINGRUNS,WICKETS,ECONOMY,BOWLINGAVG,BOWLINGSTRIKERATE,FIFERS,BOWLINGFOURS,BOWLINGSIXES,BOWLINGDOTPERCENTAGE,CATCHES,STUMPING
1,Virat Kohli,India,37,1612,1641,35,46.1,98.2,166,11,5,154,20,41.4,0,0,0,0,0,0,0,0,0,0,0,24,0
2,Rohit Sharma,India,39,1955,3466,37,52.8,56.4,212,4,7,229,40,73.6,6,8.1,22,0,2.69,0,0,0,1,0,65.3,10,0
3,Shubhman Gill,India,22,1295,1192,18,71.9,108.6,208,5,4,147,28,46.4,0,0,0,0,0,0,0,0,0,0,0,15,0
4,Shreyas Iyyer,India,33,1420,1472,30,47.3,96.5,113,12,2,140,29,47.3,4,5.1,37,0,7.16,0,0,0,2,2,51.6,13,0
5,Rishab Pant,India,18,656,610,17,38.6,107.5,125,5,1,65,22,46.1,0,0,0,0,0,0,0,0,0,0,0,20,1
6,K L Rahul,India,30,1282,1404,26,49.3,91.3,112,9,3,95,36,46.5,0,0,0,0,0,0,0,0,0,0,0,24,0
7,Ravindra Jadeja,India,15,414,494,8,51.8,83.8,66,2,0,27,9,48.4,19,156,823,15,5.28,54.9,62.4,0,54,21,47.2,9,0
8,Axar Patel,India,11,231,205,7,33,112.7,64,2,0,10,13,36.6,12,84.3,413,13,4.89,31.8,39,0,33,10,53.6,8,0
9,Ravichandran Ashwin,India,61,707,813,43,16.4,87,65,1,0,60,7,46,111,1023.4,5058,151,4.94,33.5,40.7,0,307,114,51.9,3,0
10,Jasprit Bumrah,India,6,28,50,2,14,56,14,0,0,3,0,64,14,133,687,18,5.17,38.2,44.3,1,67,8,59.9,0,0
11,Mohammad Shami,India,11,71,81,6,11.8,87.7,23,0,0,5,3,51.9,23,177.2,1066,35,6.01,30.5,30.4,0,128,21,59.8,5,0
12,Mohammad siraj,India,23,539,591,27,20,91.2,51,2,0,48,13,49.2,39,473.2,2565,102,5.42,25.1,27.8,5,258,61,61.6,5,0
13,Shardul Thakur,India,18,276,255,14,19.7,108.2,50,1,0,29,7,43.1,30,221,1381,44,6.25,31.4,30.1,0,132,39,56.1,3,0
14,Washington Sunder,India,9,233,272,8,29.1,85.7,51,1,0,17,6,50,14,86,435,16,5.06,27.2,32.2,0,31,14,54.3,4,0
15,Kuldeep Yadav,India,10,55,80,6,9.2,68.8,17,0,0,4,0,50,30,255.5,1454,41,5.68,35.5,37.4,0,92,50,48.7,7,0
16,Kusal Mendis,Sri Lanka,35,1110,1306,29,38.3,85,119,7,1,111,12,50.9,0,0,0,0,0,0,0,0,0,0,0,55,0
17,Dhananjaya De Silva,Sri Lanka,31,857,1011,28,30.6,84.8,93,6,0,88,5,51.2,29,167,801,22,4.8,36.4,45.5,0,45,12,46.9,21,0
18,Angelo Mathwes,Sri Lanka,10,240,283,9,26.7,84.8,87,2,0,23,1,48.4,3,18,96,5,5.33,19.2,21.6,0,9,2,50.9,3,0
19,Dinesh Chandimal,Sri Lanka,10,255,336,10,25.5,75.9,75,2,0,17,4,50,0,0,0,0,0,0,0,0,0,0,0,22,5
20,Dimuth Karunaratne,Sri Lanka,19,759,884,17,44.6,85.9,103,7,1,78,1,50.7,0,0,0,0,0,0,0,0,0,0,0,5,0
21,Chamika Karunaratne,Sri Lanka,22,442,546,16,27.6,81,75,1,0,31,8,51.8,21,120.5,692,24,5.73,28.8,30.2,0,62,9,53,5,0
22,Lahiru Kumara,Sri Lanka,10,36,78,7,5.1,46.2,11,0,0,4,1,78.2,18,125.5,745,26,5.92,28.7,29,0,90,10,58,4,0
23,Kasun Rajitha,Sri Lanka,10,63,114,6,10.5,55.3,17,0,0,8,0,72.8,16,123.4,688,24,5.56,28.7,30.9,0,83,10,64.3,2,0
24,Charith Asalanka,Sri Lanka,30,1093,1184,27,40.5,92.3,110,8,1,91,19,46.8,6,14,82,1,5.86,82,84,0,7,1,45.2,7,0
25,Dasun Shanaka,Sri Lanka,37,823,940,34,24.2,87.6,108,1,2,67,21,50.4,28,105,584,16,5.56,36.5,39.4,0,58,4,51.6,11,0
26,Dunith Wellalge,Sri Lanka,7,109,141,6,18.2,77.3,32,0,0,9,3,56.7,8,51,303,9,5.94,33.7,34,0,26,5,45.8,3,0
27,Kusal Perrera,Sri Lanka,12,515,567,12,42.9,90.8,120,1,2,55,2,45.5,0,0,0,0,0,0,0,0,0,0,0,7,2
28,Wanindu Hasaranga,Sri Lanka,35,769,684,29,26.5,112.4,80,4,0,70,25,44.6,38,336.4,1632,58,4.85,28.1,34.8,3,113,39,52.9,11,0
29,Mahesh Theekshana,Sri Lanka,11,88,171,5,17.6,51.5,28,0,0,3,0,61.4,22,184,799,36,4.34,22.2,30.7,0,63,9,59.5,2,0
30,Pathum Nissanka,Sri Lanka,34,1264,1501,31,40.8,84.2,137,9,3,160,6,54.9,0,0,0,0,0,0,0,0,0,0,0,12,0
31,Shakib Al Hasan,Bangladesh,28,888,1093,25,35.5,81.2,96,6,0,86,4,50,26,236,974,45,4.13,21.6,31.5,2,66,17,57.3,7,0
32,Tamim Iqbal,Bangladesh,40,1438,1761,36,39.9,81.7,158,9,3,166,21,58.2,0,0,0,0,0,0,0,0,0,0,0,20,0
33,Hussain Shanto,Bangladesh,23,619,792,23,26.9,78.2,117,3,1,67,7,56.7,4,7.2,40,1,5.45,40,44,0,2,1,40.9,7,0
34,Mehidy Hasan Miraz,Bangladesh,29,560,715,24,23.3,78.3,100,1,1,48,12,55.4,40,318.1,1547,53,4.86,29.2,36,0,107,42,53.9,15,0
