SL NO,NAME,Continents,INNINGS,RUNS,BALLSFACED,OUTS,AVG,STRIKERATE,HIGHESTSCORE,FIFTIES,HUNDREDS,FOURS,SIXES,DOTPERCENTAGE,BOWLINGINNINGS,OVERS,BOWLINGRUNS,WICKETS,ECONOMY,BOWLINGAVG,BOWLINGSTRIKERATE,FIFERS,BOWLINGFOURS,BOWLINGSIXES,BOWLINGDOTPERCENTAGE,CATCHES,STUMPING
1,David warner,Australia,26,1040,1115,25,41.6,93.3,128,7,2,119,14,53.2,0,0,0,0,0,0,0,0,0,0,0,9,0
2,Steven Smith,Australia,22,1129,1229,19,59.4,91.9,131,6,4,113,14,47.6,1,1,8,0,8,0,0,0,0,1,50,16,0
3,Pat Cummins,Australia,12,90,110,9,10,81.8,35,0,0,5,2,50.9,17,150.5,821,28,5.44,29.3,32.3,0,82,16,61.8,6,0
4,Mitchel Starc,Australia,16,135,177,11,12.3,76.3,38,0,0,8,4,55.9,25,226.5,1228,47,5.41,26.1,29,2,123,24,63,16,0
5,Mitchel Marsh,Australia,19,580,639,18,32.2,90.8,81,4,0,53,21,56.3,14,68.3,349,10,5.09,34.9,41.1,0,27,4,54.5,6,0
6,Kane Williamson,Australia,37,1985,3907,33,60.2,50.8,251,3,8,235,7,74.4,6,12,44,1,3.67,44,72,0,2,0,62.5,4,0
7,Tom Latham,Australia,54,2033,4193,51,39.9,48.5,252,12,4,235,6,75.2,0,0,0,0,0,0,0,0,0,0,0,35,8
8,Mitchell Santner,Australia,16,350,375,11,31.8,93.3,57,1,0,32,7,46.9,24,199.4,963,21,4.82,45.9,57,0,63,21,53,12,0
9,Trent Boult,Australia,6,37,36,5,7.4,102.8,16,0,0,5,0,50,10,94.5,373,23,3.93,16.2,24.7,0,30,5,71.2,8,0
10,Tim Southee,Australia,8,44,61,5,8.8,72.1,15,0,0,3,0,54.1,14,121.4,654,24,5.38,27.2,30.4,0,65,21,60.3,4,0
11,Shai Hope,Africa,52,2308,2961,44,52.5,77.9,132,10,9,200,37,54.1,0,0,0,0,0,0,0,0,0,0,0,55,7
12,Jason Holder,Africa,30,493,641,23,21.4,76.9,57,3,0,34,12,53,33,263.5,1419,30,5.38,47.3,52.8,0,155,25,59.1,15,0
13,Kyle Mayers,Africa,23,618,728,23,26.9,84.9,120,2,2,70,19,61.8,20,104.2,583,14,5.59,41.6,44.7,0,56,9,55.9,10,0
14,Shamarh Brooks,Africa,29,842,1114,28,30.1,75.6,101,4,1,69,16,55.9,0,0,0,0,0,0,0,0,0,0,0,14,0
15,Nicholas Pooran,Africa,49,1616,1630,42,38.5,99.1,115,9,2,124,70,50.6,7,28.1,174,6,6.18,29,28.2,0,9,5,44.4,19,2
16,Quinton De Kock,Africa,25,1059,1055,24,44.1,100.4,124,5,3,116,24,49.9,0,0,0,0,0,0,0,0,0,0,0,33,7
17,Heinrich Klassen,Africa,20,829,741,16,51.8,111.9,123,4,2,75,20,41.8,2,5,33,0,6.6,0,0,0,3,0,26.7,18,6
18,Aiden Markram,Africa,22,797,779,21,38,102.3,175,4,1,72,23,47.1,15,84.1,449,13,5.33,34.5,38.8,0,28,11,48.5,11,0
19,Anritch Nortje,Africa,5,22,28,4,5.5,78.6,10,0,0,2,0,50,16,131.1,774,28,5.9,27.6,28.1,0,88,12,53.7,1,0
20,Kagiso Rabada,Africa,8,58,50,4,14.5,116,16,0,0,6,2,42,14,122.5,630,20,5.13,31.5,36.8,1,67,13,65.9,3,0
21,Ben Stokes,Europe,9,242,221,9,26.9,109.5,99,1,0,21,13,54.8,8,33,217,4,6.58,54.2,49.5,0,20,4,42.9,4,0
22,Jonny Bairstow,Europe,18,773,741,18,42.9,104.3,124,4,2,82,27,54.4,0,0,0,0,0,0,0,0,0,0,0,9,4
23,Jos Buttler,Europe,46,1185,2489,43,27.6,47.6,152,4,1,136,15,77.6,21,804,733,18,44.7,109.7,162,4,53,33,43.2,54,15
24,Sam Billing,Europe,11,431,473,9,47.9,91.1,118,3,1,45,6,50.1,0,0,0,0,0,0,0,0,0,0,0,5,1
25,Chris Woakes,Europe,10,200,227,8,25,88.1,53,1,0,19,0,46.3,13,113.1,510,18,4.51,28.3,37.7,0,42,10,59.1,4,0
26,Sam Curran,Europe,14,301,301,11,27.4,100,95,1,0,19,16,49.5,21,149,856,24,5.73,35.7,37.3,1,77,13,52.7,2,0
27,Moen Ali,Europe,21,446,527,19,23.5,84.6,51,1,0,36,16,54.5,24,158.4,851,15,5.36,56.7,63.5,0,61,15,44.5,10,0
28,Dawid Malan,Europe,17,745,796,13,57.3,93.6,134,3,4,62,19,47.1,2,2.3,17,1,6.8,17,15,0,1,1,60,7,0
29,Joe Root,Europe,12,351,438,10,35.1,80.1,86,3,0,21,3,49.3,5,23.1,131,4,5.65,32.8,34.8,0,11,2,41.7,10,0
30,Phil Salt,Europe,12,406,366,12,38.3,125.7,122,2,1,68,4,45.6,0,0,0,0,0,0,0,0,0,0,0,3,0
31,Virat Kohli,Asia,37,1612,1641,35,46.1,98.2,166,11,5,154,20,41.4,0,0,0,0,0,0,0,0,0,0,0,24,0
32,Shreyas Iyyer,Asia,33,1420,1472,30,47.3,96.5,113,12,2,140,29,47.3,4,5.1,37,0,7.16,0,0,0,2,2,51.6,13,0
33,Axar Patel,Asia,11,231,205,7,33,112.7,64,2,0,10,13,36.6,12,84.3,413,13,4.89,31.8,39,0,33,10,53.6,8,0
34,Ravichandran Ashwin,Asia,61,707,813,43,16.4,87,65,1,0,60,7,46,111,1023.4,5058,151,4.94,33.5,40.7,0,307,114,51.9,3,0
