POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,Nationality,Team,Season
1,David Warner,12,12,2,692,100,69.2,481,143.86,1,8,57,21,Overseas,Sunrisers Hyderabad,2019
2,KL Rahul,14,14,3,593,100,53.9,438,135.38,1,6,49,25,Indian,Kings Xi Punjab,2019
3,Quinton de Kock,16,16,1,529,81,35.26,398,132.91,0,4,45,25,Overseas,Mumbai Indians,2019
4,Shikhar Dhawan,16,16,1,521,97,34.73,384,135.67,0,5,64,11,Indian,Delhi Capitals,2019
5,Andre Russell,14,13,4,510,80,56.66,249,204.81,0,4,31,52,Overseas,Kolkata Knight Riders,2019
6,Chris Gayle,13,13,1,490,99,40.83,319,153.6,0,4,45,34,Overseas,Kings Xi Punjab,2019
7,Rishabh Pant,16,16,3,488,78,37.53,300,162.66,0,3,37,27,Indian,Delhi Capitals,2019
8,Virat Kohli,14,14,0,464,100,33.14,328,141.46,1,2,46,13,Indian,Royal Challengers Bangalore,2019
9,Shreyas Iyer,16,16,1,463,67,30.86,386,119.94,0,3,41,14,Indian,Delhi Capitals,2019
10,Jonny Bairstow,10,10,2,445,114,55.62,283,157.24,1,2,48,18,Overseas,Sunrisers Hyderabad,2019
11,AB de Villiers,13,13,3,442,82,44.2,287,154,0,5,31,26,Overseas,Royal Challengers Bangalore,2019
12,Suryakumar Yadav,16,15,2,424,71,32.61,324,130.86,0,2,45,10,Indian,Mumbai Indians,2019
13,MS Dhoni,15,12,7,416,84,83.2,309,134.62,0,3,22,23,Indian,Chennai Super Kings,2019
14,Chris Lynn,13,13,0,405,82,31.15,290,139.65,0,4,41,22,Overseas,Kolkata Knight Riders,2019
15,Rohit Sharma,15,15,1,405,67,28.92,315,128.57,0,2,52,10,Indian,Mumbai Indians,2019
16,Hardik Pandya,16,15,6,402,91,44.66,210,191.42,0,1,28,29,Indian,Mumbai Indians,2019
17,Shane Watson,17,17,0,398,96,23.41,312,127.56,0,3,42,20,Overseas,Chennai Super Kings,2019
18,Faf du Plessis,12,12,1,396,96,36,321,123.36,0,3,36,15,Overseas,Chennai Super Kings,2019
19,Ajinkya Rahane,14,13,1,393,105,32.75,285,137.89,1,1,45,9,Indian,Rajasthan Royals,2019
20,Suresh Raina,17,17,1,383,59,23.93,314,121.97,0,3,45,9,Indian,Chennai Super Kings,2019
21,Parthiv Patel,14,14,0,373,67,26.64,268,139.17,0,2,48,10,Indian,Royal Challengers Bangalore,2019
22,Prithvi Shaw,16,16,0,353,99,22.06,264,133.71,0,2,45,9,Indian,Delhi Capitals,2019
23,Manish Pandey,12,11,3,344,83,43,263,130.79,0,3,34,6,Indian,Sunrisers Hyderabad,2019
24,Nitish Rana,14,11,1,344,85,34.4,235,146.38,0,3,27,21,Indian,Kolkata Knight Riders,2019
25,Sanju Samson,12,12,2,342,102,34.2,230,148.69,1,0,28,13,Indian,Rajasthan Royals,2019
26,Mayank Agarwal,13,13,0,332,58,25.53,234,141.88,0,2,26,14,Indian,Kings Xi Punjab,2019
27,Steve Smith,12,10,2,319,73,39.87,275,116,0,3,30,4,Overseas,Rajasthan Royals,2019
28,Jos Buttler,8,8,0,311,89,38.87,205,151.7,0,3,38,14,Overseas,Rajasthan Royals,2019
29,Shubman Gill,14,13,4,296,76,32.88,238,124.36,0,3,21,10,Indian,Kolkata Knight Riders,2019
30,Ambati Rayudu,17,17,5,282,57,23.5,303,93.06,0,1,20,7,Indian,Chennai Super Kings,2019
31,Robin Uthappa,12,11,2,282,67,31.33,245,115.1,0,1,28,10,Indian,Kolkata Knight Riders,2019
32,Kieron Pollard,16,14,6,279,83,34.87,178,156.74,0,1,14,22,Overseas,Mumbai Indians,2019
33,Dinesh Karthik,14,13,5,253,97,31.62,173,146.24,0,2,22,14,Indian,Kolkata Knight Riders,2019
34,Vijay Shankar,15,14,2,244,40,20.33,193,126.42,0,0,11,12,Indian,Sunrisers Hyderabad,2019
35,Moeen Ali,11,10,2,220,66,27.5,133,165.41,0,2,16,17,Overseas,Royal Challengers Bangalore,2019
36,David Miller,10,10,2,213,59,26.62,164,129.87,0,1,19,7,Overseas,Kings Xi Punjab,2019
37,Marcus Stoinis,10,10,6,211,46,52.75,156,135.25,0,0,14,10,Overseas,Royal Challengers Bangalore,2019
38,Colin Ingram,12,12,2,184,47,18.4,154,119.48,0,0,20,5,Overseas,Delhi Capitals,2019
39,Krunal Pandya,16,15,4,183,42,16.63,150,122,0,0,18,5,Indian,Mumbai Indians,2019
40,Sarfaraz Khan,8,5,1,180,67,45,143,125.87,0,1,19,4,Indian,Kings Xi Punjab,2019
41,Nicholas Pooran,7,6,0,168,48,28,107,157,0,0,10,14,Overseas,Kings Xi Punjab,2019
42,Mandeep Singh,13,12,8,165,33,41.25,120,137.5,0,0,10,4,Indian,Kings Xi Punjab,2019
43,Kedar Jadhav,14,12,3,162,58,18,169,95.85,0,1,19,3,Indian,Chennai Super Kings,2019
44,Riyan Parag,7,5,0,160,50,32,126,126.98,0,1,17,5,Indian,Rajasthan Royals,2019
45,Kane Williamson,9,9,2,156,70,22.28,130,120,0,1,12,5,Overseas,Sunrisers Hyderabad,2019
46,Sunil Narine,12,9,1,143,47,17.87,86,166.27,0,0,17,9,Overseas,Kolkata Knight Riders,2019
47,Rahul Tripathi,8,7,1,141,50,23.5,118,119.49,0,1,13,2,Indian,Rajasthan Royals,2019
48,Ben Stokes,9,9,3,123,46,20.5,99,124.24,0,0,8,4,Overseas,Rajasthan Royals,2019
49,Mohammad Nabi,8,7,1,115,31,19.16,76,151.31,0,0,8,7,Overseas,Sunrisers Hyderabad,2019
50,Axar Patel,14,12,6,110,26,18.33,88,125,0,0,10,3,Indian,Delhi Capitals,2019
51,Ravindra Jadeja,16,9,6,106,31,35.33,88,120.45,0,0,7,4,Indian,Chennai Super Kings,2019
52,Ishan Kishan,7,6,0,101,28,16.83,100,101,0,0,8,4,Indian,Mumbai Indians,2019
53,Yuvraj Singh,4,4,0,98,53,24.5,75,130.66,0,1,7,6,Indian,Mumbai Indians,2019
54,Gurkeerat Mann Singh,3,3,0,98,65,32.66,70,140,0,1,11,2,Indian,Royal Challengers Bangalore,2019
55,Sam Curran,9,8,4,95,55,23.75,55,172.72,0,1,13,3,Overseas,Kings Xi Punjab,2019
56,Shimron Hetmyer,5,5,0,90,75,18,73,123.28,0,1,4,7,Overseas,Royal Challengers Bangalore,2019
57,Wriddhiman Saha,5,5,0,86,28,17.2,53,162.26,0,0,13,1,Indian,Sunrisers Hyderabad,2019
58,Colin Munro,4,4,0,84,40,21,70,120,0,0,9,4,Overseas,Delhi Capitals,2019
59,Martin Guptill,3,3,0,81,36,27,53,152.83,0,0,4,7,Overseas,Sunrisers Hyderabad,2019
60,Dwayne Bravo,12,9,4,80,27,16,66,121.21,0,0,6,3,Overseas,Chennai Super Kings,2019
61,Sherfane Rutherford,7,7,2,73,28,14.6,54,135.18,0,0,2,7,Overseas,Delhi Capitals,2019
62,Liam Livingstone,4,4,1,71,44,23.66,48,147.91,0,0,6,5,Overseas,Rajasthan Royals,2019
63,Stuart Binny,8,5,2,70,33,23.33,40,175,0,0,5,4,Indian,Rajasthan Royals,2019
64,Jofra Archer,11,5,3,67,27,33.5,40,167.5,0,0,4,4,Overseas,Rajasthan Royals,2019
65,Deepak Hooda,11,7,1,64,20,10.66,63,101.58,0,0,5,1,Indian,Sunrisers Hyderabad,2019
66,Murali Vijay,2,2,0,64,38,32,61,104.91,0,0,6,1,Indian,Chennai Super Kings,2019
67,Shreyas Gopal,14,7,3,63,19,15.75,46,136.95,0,0,8,1,Indian,Rajasthan Royals,2019
68,Akshdeep Nath,8,5,0,61,24,12.2,57,107.01,0,0,5,2,Indian,Royal Challengers Bangalore,2019
69,Evin Lewis,3,3,0,48,32,16,52,92.3,0,0,4,2,Overseas,Mumbai Indians,2019
70,Colin de Grandhomme,4,4,1,46,37,15.33,49,93.87,0,0,4,2,Overseas,Royal Challengers Bangalore,2019
71,Piyush Chawla,13,5,2,42,14,14,37,113.51,0,0,4,2,Indian,Kolkata Knight Riders,2019
72,Ravichandran Ashwin,14,6,1,42,17,8.4,28,150,0,0,3,3,Indian,Kings Xi Punjab,2019
73,Shivam Dube,4,4,1,40,24,13.33,33,121.21,0,0,1,3,Indian,Royal Challengers Bangalore,2019
74,Yusuf Pathan,10,8,5,40,16,13.33,45,88.88,0,0,1,1,Indian,Sunrisers Hyderabad,2019
75,Rinku Singh,5,3,1,37,30,18.5,34,108.82,0,0,1,2,Indian,Kolkata Knight Riders,2019
76,Rashid Khan,15,8,3,34,17,6.8,23,147.82,0,0,2,2,Overseas,Sunrisers Hyderabad,2019
77,Chris Morris,9,6,0,32,17,5.33,37,86.48,0,0,1,2,Overseas,Delhi Capitals,2019
78,Mitchell Santner,4,2,1,32,22,32,23,139.13,0,0,0,3,Overseas,Chennai Super Kings,2019
79,Rahul Tewatia,5,4,3,26,11,26,22,118.18,0,0,2,1,Indian,Delhi Capitals,2019
80,Umesh Yadav,11,7,5,25,14,12.5,25,100,0,0,3,1,Indian,Royal Challengers Bangalore,2019
81,Amit Mishra,11,4,2,21,8,10.5,24,87.5,0,0,2,0,Indian,Delhi Capitals,2019
82,Harpreet Brar,2,1,1,20,20,0,12,166.66,0,0,2,1,Indian,Kings Xi Punjab,2019
83,Prayas Ray Barman,1,1,0,19,19,19,24,79.16,0,0,2,0,Indian,Royal Challengers Bangalore,2019
84,Keemo Paul,8,6,1,18,7,3.6,24,75,0,0,1,1,Overseas,Delhi Capitals,2019
85,Ben Cutting,3,3,1,18,13,9,17,105.88,0,0,1,1,Overseas,Mumbai Indians,2019
86,Krishnappa Gowtham,7,4,1,18,9,6,19,94.73,0,0,1,1,Indian,Rajasthan Royals,2019
87,Simran Singh,1,1,0,16,16,16,17,94.11,0,0,1,1,Indian,Kings Xi Punjab,2019
88,Alzarri Joseph,3,2,2,15,15,0,13,115.38,0,0,2,0,Overseas,Mumbai Indians,2019
89,Siddhesh Lad,1,1,0,15,15,15,13,115.38,0,0,1,1,Indian,Mumbai Indians,2019
90,Shardul Thakur,10,3,1,14,12,7,7,200,0,0,1,1,Indian,Chennai Super Kings,2019
91,Kagiso Rabada,12,4,1,14,9,4.66,15,93.33,0,0,0,1,Overseas,Delhi Capitals,2019
92,Bhuvneshwar Kumar,15,5,2,12,7,4,19,63.15,0,0,1,0,Indian,Sunrisers Hyderabad,2019
93,Kuldeep Yadav,9,4,2,12,10,6,8,150,0,0,1,0,Indian,Kolkata Knight Riders,2019
94,Rahul Chahar,13,4,2,12,10,6,11,109.09,0,0,2,0,Indian,Mumbai Indians,2019
95,Mitchell McClenaghan,5,4,1,11,10,3.66,16,68.75,0,0,2,0,Overseas,Mumbai Indians,2019
96,Carlos Brathwaite,2,2,0,11,6,5.5,10,110,0,0,1,0,Overseas,Kolkata Knight Riders,2019
97,Ishant Sharma,13,3,3,10,10,0,3,333.33,0,0,1,1,Indian,Delhi Capitals,2019
98,Shakib Al Hasan,3,1,0,9,9,9,10,90,0,0,0,0,Overseas,Sunrisers Hyderabad,2019
99,Pawan Negi,7,4,0,9,5,2.25,12,75,0,0,1,0,Indian,Royal Challengers Bangalore,2019
100,Tim Southee,3,1,1,9,9,0,9,100,0,0,0,0,Overseas,Royal Challengers Bangalore,2019
1,Kane Williamson,17,17,3,735,84,52.5,516,142.44,0,8,64,28,Overseas,Sunrisers Hyderabad,2018
2,Rishabh Pant,14,14,1,684,128,52.61,394,173.6,1,5,68,37,Indian,Delhi Capitals,2018
3,KL Rahul,14,14,2,659,95,54.91,416,158.41,0,6,66,32,Indian,Kings Xi Punjab,2018
4,Ambati Rayudu,16,16,2,602,100,43,402,149.75,1,3,53,34,Indian,Chennai Super Kings,2018
5,Shane Watson,15,15,1,555,117,39.64,359,154.59,2,2,44,35,Overseas,Chennai Super Kings,2018
6,Jos Buttler,13,13,3,548,95,54.8,353,155.24,0,5,52,21,Overseas,Rajasthan Royals,2018
7,Virat Kohli,14,14,3,530,92,48.18,381,139.1,0,4,52,18,Indian,Royal Challengers Bangalore,2018
8,Suryakumar Yadav,14,14,0,512,72,36.57,384,133.33,0,4,61,16,Indian,Mumbai Indians,2018
