SL NO,NAME,COUNTRY,INNINGS,RUNS,BALLSFACED,OUTS,AVG,STRIKERATE,HIGHESTSCORE,FIFTIES,HUNDREDS,FOURS,SIXES,DOTPERCENTAGE,BOWLINGINNINGS,OVERS,BOWLINGRUNS,WICKETS,ECONOMY,BOWLINGAVG,BOWLINGSTRIKERATE,FIFERS,FOURS,SIXES,BOWLINGDOTPERCENTAGE,CATCHES,STUMPING
1,Virat Kohli,India,37,1612,1641,35,46.1,98.2,166,11,5,154,20,41.4,0,0,0,0,0,0,0,0,0,0,0,24,0
2,Rohit Sharma,India,39,1955,3466,37,52.8,56.4,212,4,7,229,40,73.6,6,8.1,22,0,2.69,0,0,0,1,0,65.3,10,0
3,Shubhman Gill,India,22,1295,1192,18,71.9,108.6,208,5,4,147,28,46.4,0,0,0,0,0,0,0,0,0,0,0,15,0
4,Shreyas Iyyer,India,33,1420,1472,30,47.3,96.5,113,12,2,140,29,47.3,4,5.1,37,0,7.16,0,0,0,2,2,51.6,13,0
5,Rishab Pant,India,18,656,610,17,38.6,107.5,125,5,1,65,22,46.1,0,0,0,0,0,0,0,0,0,0,0,20,1
6,K L Rahul,India,30,1282,1404,26,49.3,91.3,112,9,3,95,36,46.5,0,0,0,0,0,0,0,0,0,0,0,24,0
7,Ravindra Jadeja,India,15,414,494,8,51.8,83.8,66,2,0,27,9,48.4,19,156,823,15,5.28,54.9,62.4,0,54,21,47.2,9,0
8,Axar Patel,India,11,231,205,7,33,112.7,64,2,0,10,13,36.6,12,84.3,413,13,4.89,31.8,39,0,33,10,53.6,8,0
9,Ravichandran Ashwin,India,61,707,813,43,16.4,87,65,1,0,60,7,46,111,1023.4,5058,151,4.94,33.5,40.7,0,307,114,51.9,3,0
10,Jasprit Bumrah,India,6,28,50,2,14,56,14,0,0,3,0,64,14,133,687,18,5.17,38.2,44.3,1,67,8,59.9,0,0
11,Mohammad Shami,India,11,71,81,6,11.8,87.7,23,0,0,5,3,51.9,23,177.2,1066,35,6.01,30.5,30.4,0,128,21,59.8,5,0
12,Mohammad siraj,India,23,539,591,27,20,91.2,51,2,0,48,13,49.2,39,473.2,2565,102,5.42,25.1,27.8,5,258,61,61.6,5,0
13,Shardul Thakur,India,18,276,255,14,19.7,108.2,50,1,0,29,7,43.1,30,221,1381,44,6.25,31.4,30.1,0,132,39,56.1,3,0
14,Washington Sunder,India,9,233,272,8,29.1,85.7,51,1,0,17,6,50,14,86,435,16,5.06,27.2,32.2,0,31,14,54.3,4,0
15,Kuldeep Yadav,India,10,55,80,6,9.2,68.8,17,0,0,4,0,50,30,255.5,1454,41,5.68,35.5,37.4,0,92,50,48.7,7,0
16,David warner,Australia,26,1040,1115,25,41.6,93.3,128,7,2,119,14,53.2,0,0,0,0,0,0,0,0,0,0,0,9,0
17,Steven Smith,Australia,22,1129,1229,19,59.4,91.9,131,6,4,113,14,47.6,1,1,8,0,8,0,0,0,0,1,50,16,0
18,Travis Head,Australia,12,639,561,10,63.9,113.9,152,4,2,70,18,46.7,4,13,81,2,6.23,40.5,39,0,5,2,37.2,2,0
19,Marnus Labuchagne,Australia,28,847,1018,27,31.4,83.2,108,6,1,52,2,42.2,9,30.4,193,2,6.29,96.5,92,0,14,5,42.4,12,0
20,Cameron Green,Australia,12,302,340,6,50.3,88.8,89,1,0,23,8,48.5,15,75,377,11,5.03,34.3,40.9,1,41,3,56.2,6,0
21,Alex Carey,Australia,32,863,1022,27,32,84.4,106,3,1,68,9,48.4,0,0,0,0,0,0,0,0,0,0,0,73,8
22,Mathew Wade,Australia,3,90,124,2,45,72.6,51,1,0,7,2,60.5,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Pat Cummins,Australia,12,90,110,9,10,81.8,35,0,0,5,2,50.9,17,150.5,821,28,5.44,29.3,32.3,0,82,16,61.8,6,0
24,Mitchel Starc,Australia,16,135,177,11,12.3,76.3,38,0,0,8,4,55.9,25,226.5,1228,47,5.41,26.1,29,2,123,24,63,16,0
25,Josh Hazlewood,Australia,9,45,47,2,22.5,95.7,23,0,0,2,1,38.3,25,222,955,36,4.3,26.5,37,0,98,13,65,9,0
26,Mitchel Swepson,Australia,1,2,2,1,2,100,2,0,0,0,0,50,3,26.2,161,3,6.11,53.7,52.7,0,12,5,43.7,0,0
27,Mitchel Marsh,Australia,19,580,639,18,32.2,90.8,81,4,0,53,21,56.3,14,68.3,349,10,5.09,34.9,41.1,0,27,4,54.5,6,0
28,Ashton Agar,Australia,9,130,153,6,21.7,85,28,0,0,8,2,47.1,12,102,504,12,4.94,42,51,0,29,13,48.7,6,0
29,Jhye Richardson,Australia,2,25,23,0,0,108.7,24,0,0,3,0,43.5,3,27,161,3,5.96,53.7,54,0,19,3,53.7,1,0
30,Josh Inglis,Australia,3,41,53,3,13.7,77.4,26,0,0,3,1,56.6,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Kane Williamson,New Zealand,37,1985,3907,33,60.2,50.8,251,3,8,235,7,74.4,6,12,44,1,3.67,44,72,0,2,0,62.5,4,0
32,Tom Latham,New Zealand,54,2033,4193,51,39.9,48.5,252,12,4,235,6,75.2,0,0,0,0,0,0,0,0,0,0,0,35,8
33,Henry Nicholls,New Zealand,21,626,773,17,36.8,81,80,4,0,65,6,54.9,0,0,0,0,0,0,0,0,0,0,0,8,0
34,Mitchell Santner,New Zealand,16,350,375,11,31.8,93.3,57,1,0,32,7,46.9,24,199.4,963,21,4.82,45.9,57,0,63,21,53,12,0
35,Tom Blundell,New Zealand,6,138,167,6,23,82.6,65,1,0,18,0,55.1,0,0,0,0,0,0,0,0,0,0,0,5,1
36,Trent Boult,New Zealand,6,37,36,5,7.4,102.8,16,0,0,5,0,50,10,94.5,373,23,3.93,16.2,24.7,0,30,5,71.2,8,0
