SL NO,NAME,COUNTRY,INNINGS,RUNS,BALLSFACED,OUTS,AVG,STRIKERATE,HIGHESTSCORE,FIFTIES,HUNDREDS,FOURS,SIXES,DOTPERCENTAGE,BOWLINGINNINGS,OVERS,BOWLINGRUNS,WICKETS,ECONOMY,BOWLINGAVG,BOWLINGSTRIKERATE,FIFERS,BOWLINGFOURS,BOWLINGSIXES,BOWLINGDOTPERCENTAGE,,CATCHES,STUMPING,
1,Smriti Mandanna,INDIA,29,1169,1398,27,43.3,83.6,123,9,1,136,13,55.2,0,0,0,0,0,0,0,0,0,0,0,,17,0,
2,Harmanpreet Kaur,INDIA,29,1130,1358,23,49.1,83.2,143,7,2,110,15,51,16,77,379,9,4.92,42.1,51.3,0,27,4,53.5,,23,0,
3,Jemimah Rodrigues,INDIA,12,263,364,12,21.9,72.3,83,3,0,29,0,59.1,2,4.2,4,5,0.92,0.8,5.2,0,0,0,84.6,,2,0,
4,Shafali Verma,INDIA,21,531,635,20,26.6,83.6,71,4,0,64,6,56.5,2,3,9,1,3,9,18,0,0,0,55.6,,13,0,
5,Deepti Sharma,INDIA,29,512,760,20,25.6,67.4,69,2,0,41,1,54.3,33,263.4,1194,35,4.53,34.1,45.2,5,99,9,55.4,,24,9,
6,Harleen Deol,INDIA,6,127,176,5,25.4,72.2,58,1,0,7,2,54,5,14,69,2,4.93,34.5,42,0,5,1,50,,15,0,
7,Renuka Singh,INDIA,4,2,9,4,0.5,22.2,2,0,0,0,0,77.8,7,58,268,18,4.62,14.9,19.3,0,31,0,62.4,,6,0,
8,Meghna Singh,INDIA,6,27,42,2,13.5,64.3,12,0,0,3,0,61.9,16,114.2,564,16,4.93,35.2,42.9,0,77,0,66.8,,7,0,
9,Richa Ghosh,INDIA,16,311,366,14,22.2,85,65,2,0,25,8,54.1,30,563,422,21,26.8,133.4,47,0,64,18,40.5,,3,0,
10,Rajeshwari Gayakwad,INDIA,8,8,29,5,1.6,27.6,4,0,0,1,0,89.7,27,249.5,981,37,3.93,26.5,40.5,0,87,4,61,,1,0,
11,Sneh Rana,INDIA,15,183,208,12,15.2,88,53,1,0,19,0,48,17,134.3,619,18,4.6,34.4,44.8,0,52,3,54.3,,1,0,
12,Pooja Vastrakar,INDIA,19,383,450,16,23.9,85.1,68,2,0,29,7,47.6,20,114,615,20,5.39,30.8,34.2,0,81,1,55.8,,1,0,
13,Taniya Bhatia,INDIA,6,40,85,4,10,47.1,9,0,0,1,0,63.5,0,0,0,0,0,0,0,0,0,0,0,,10,0,
14,Amanjot Kaur,INDIA,2,18,42,1,18,42.9,15,0,0,1,0,66.7,2,13.5,55,4,3.98,13.8,20.8,0,6,0,75.9,,4,0,
15,Radha Yadav,INDIA,0,0,0,0,0,0,0,0,0,0,0,0,1,9.4,68,0,7.03,0,0,0,10,0,43.1,,1,0,
16,Nigar Sultana,BANGLADESH,16,364,670,16,22.8,54.3,73,1,0,20,3,63.7,0,0,0,0,0,0,0,0,0,0,0,,15,5,
17,Rumana Ahmed,BANGLADESH,12,167,261,10,16.7,64,50,1,0,19,0,64.4,14,80.3,291,13,3.61,22.4,37.2,0,19,1,60,,6,0,
18,Nahida Akter,BANGLADESH,12,54,137,7,7.7,39.4,25,0,0,4,0,74.5,20,242.4,909,27,3.75,33.7,53.9,1,47,3,54.4,,4,0,
19,Jahanara Alam,BANGLADESH,6,33,49,3,11,67.3,11,0,0,3,0,53.1,18,188,884,16,4.7,55.2,70.5,0,82,3,57,,2,0,
20,Fahima Khatun,BANGLADESH,10,55,101,7,7.9,54.5,25,0,0,2,0,56.4,15,73.4,322,10,4.37,32.2,44.2,0,23,1,54.3,,4,0,
21,Murshida Khatun,BANGLADESH,13,272,434,11,24.7,62.7,51,1,0,34,1,67.7,0,0,0,0,0,0,0,0,0,0,0,,4,0,
22,Sharmin Akther,BANGLADESH,15,372,661,14,26.6,56.3,130,0,1,38,0,66.6,0,0,0,0,0,0,0,0,0,0,0,,2,0,
