SL NO,NAME,COUNTRY,INNINGS,RUNS,BALLSFACED,OUTS,AVG,STRIKERATE,HIGHESTSCORE,FIFTIES,HUNDREDS,FOURS,SIXES,DOTPERCENTAGE,BOWLINGINNINGS,OVERS,BOWLINGRUNS,WICKETS,ECONOMY,BOWLINGAVG,BOWLINGSTRIKERATE,FIFERS,BOWLINGFOURS,BOWLINGSIXES,BOWLINGDOTPERCENTAGE,CATCHES,STUMPING
1,Smriti Mandanna,INDIA,29,1169,1398,27,43.3,83.6,123,9,1,136,13,55.2,0,0,0,0,0,0,0,0,0,0,0,17,0
2,Harmanpreet Kaur,INDIA,29,1130,1358,23,49.1,83.2,143,7,2,110,15,51,16,77,379,9,4.92,42.1,51.3,0,27,4,53.5,23,0
3,Jemimah Rodrigues,INDIA,12,263,364,12,21.9,72.3,83,3,0,29,0,59.1,2,4.2,4,5,0.92,0.8,5.2,0,0,0,84.6,2,0
4,Shafali Verma,INDIA,21,531,635,20,26.6,83.6,71,4,0,64,6,56.5,2,3,9,1,3,9,18,0,0,0,55.6,13,0
5,Deepti Sharma,INDIA,29,512,760,20,25.6,67.4,69,2,0,41,1,54.3,33,263.4,1194,35,4.53,34.1,45.2,5,99,9,55.4,24,9
6,Harleen Deol,INDIA,6,127,176,5,25.4,72.2,58,1,0,7,2,54,5,14,69,2,4.93,34.5,42,0,5,1,50,15,0
7,Renuka Singh,INDIA,4,2,9,4,0.5,22.2,2,0,0,0,0,77.8,7,58,268,18,4.62,14.9,19.3,0,31,0,62.4,6,0
8,Meghna Singh,INDIA,6,27,42,2,13.5,64.3,12,0,0,3,0,61.9,16,114.2,564,16,4.93,35.2,42.9,0,77,0,66.8,7,0
9,Richa Ghosh,INDIA,16,311,366,14,22.2,85,65,2,0,25,8,54.1,30,563,422,21,26.8,133.4,47,0,64,18,40.5,3,0
10,Rajeshwari Gayakwad,INDIA,8,8,29,5,1.6,27.6,4,0,0,1,0,89.7,27,249.5,981,37,3.93,26.5,40.5,0,87,4,61,1,0
11,Sneh Rana,INDIA,15,183,208,12,15.2,88,53,1,0,19,0,48,17,134.3,619,18,4.6,34.4,44.8,0,52,3,54.3,1,0
12,Pooja Vastrakar,INDIA,19,383,450,16,23.9,85.1,68,2,0,29,7,47.6,20,114,615,20,5.39,30.8,34.2,0,81,1,55.8,1,0
13,Taniya Bhatia,INDIA,6,40,85,4,10,47.1,9,0,0,1,0,63.5,0,0,0,0,0,0,0,0,0,0,0,10,0
14,Amanjot Kaur,INDIA,2,18,42,1,18,42.9,15,0,0,1,0,66.7,2,13.5,55,4,3.98,13.8,20.8,0,6,0,75.9,4,0
15,Radha Yadav,INDIA,0,0,0,0,0,0,0,0,0,0,0,0,1,9.4,68,0,7.03,0,0,0,10,0,43.1,1,0
16,Beth Mooney,AUSTRALIA,28,1174,1247,17,69.1,94.1,134,8,2,114,6,43.3,51,1736,1379,37,46.9,125.9,113,17,230,9,34.4,15,0
17,Alysa Healy,AUSTRALIA,30,1459,1401,29,50.3,104.1,170,8,4,197,15,50.2,0,0,0,0,0,0,0,0,0,0,0,21,0
18,T McGrath,AUSTRALIA,14,383,421,11,34.8,91,74,2,0,45,3,50.8,18,103.2,534,16,5.17,33.4,38.8,0,49,2,56,0,0
19,E Perry,AUSTRALIA,24,751,987,15,50.1,76.1,112,4,1,69,5,51.9,24,111,482,17,4.34,28.4,39.2,0,51,0,76.4,1,0
20,A Sutherland,AUSTRALIA,10,196,250,7,28,78.4,50,1,0,17,4,53.6,16,88,409,16,4.65,25.6,33,0,38,3,64.8,3,0
21,G Wareham,AUSTRALIA,6,139,91,2,69.5,152.7,65,1,0,10,6,25.3,16,131,543,21,4.15,25.9,37.4,0,41,7,58.5,19,9
22,K Garth,AUSTRALIA,1,2,8,1,2,25,2,0,0,0,0,75,2,16,57,0,3.56,0,0,0,7,0,88.5,34,4
23,A King,AUSTRALIA,4,20,41,4,5,48.8,18,0,0,2,0,68.3,16,126,561,21,4.45,26.7,36,0,46,6,55.2,11,0
