SL NO,NAME,COUNTRY,INNINGS,RUNS,BALLSFACED,OUTS,AVG,STRIKERATE,HIGHESTSCORE,FIFTIES,HUNDREDS,FOURS,SIXES,DOTPERCENTAGE,BOWLINGINNINGS,OVERS,BOWLINGRUNS,WICKETS,ECONOMY,BOWLINGAVG,BOWLINGSTRIKERATE,FIFERS,BOWLINGFOURS,BOWLINGSIXES,BOWLINGDOTPERECNTAGE,CATCHES,STUMPING,
1,Smriti Mandanna,ASIA,29,1169,1398,27,43.3,83.6,123,9,1,136,13,55.2,0,0,0,0,0,0,0,0,0,0,0,17,0,
2,Harmanpreet Kaur,ASIA,29,1130,1358,23,49.1,83.2,143,7,2,110,15,51,16,77,379,9,4.92,42.1,51.3,0,27,4,53.5,23,0,
5,Deepti Sharma,ASIA,29,512,760,20,25.6,67.4,69,2,0,41,1,54.3,33,263.4,1194,35,4.53,34.1,45.2,5,99,9,55.4,24,9,
7,Renuka Singh,ASIA,4,2,9,4,0.5,22.2,2,0,0,0,0,77.8,7,58,268,18,4.62,14.9,19.3,0,31,0,62.4,6,0,
12,Pooja Vastrakar,ASIA,19,383,450,16,23.9,85.1,68,2,0,29,7,47.6,20,114,615,20,5.39,30.8,34.2,0,81,1,55.8,1,0,
16,Beth Mooney,AUSTRALIA,28,1174,1247,17,69.1,94.1,134,8,2,114,6,43.3,51,1736,1379,37,46.9,125.9,113,17,230,9,34.4,15,0,
17,Alysa Healy,AUSTRALIA,30,1459,1401,29,50.3,104.1,170,8,4,197,15,50.2,0,0,0,0,0,0,0,0,0,0,0,21,0,
18,T McGrath,AUSTRALIA,14,383,421,11,34.8,91,74,2,0,45,3,50.8,18,103.2,534,16,5.17,33.4,38.8,0,49,2,56,0,0,
19,E Perry,AUSTRALIA,24,751,987,15,50.1,76.1,112,4,1,69,5,51.9,24,111,482,17,4.34,28.4,39.2,0,51,0,76.4,1,0,
29,A Gardener,AUSTRALIA,39,781,670,31,25.2,116.6,67,4,0,82,29,48.4,51,365.2,1504,66,4.12,22.8,33.2,0,119,16,59.3,1,0,
31,L Wolvaardt,AFRICA,80,3242,4683,68,47.7,69.3,149,28,3,378,2,60,49,1072,989,35,30.6,108.4,66,7,120,14,42.1,14,0,
33,S Luus,AFRICA,30,771,1229,29,26.6,62.7,93,5,0,153,3,61.6,79,508,2271,99,4.47,22.9,30.8,3,194,14,57.4,3,0,
34,C Tryon,AFRICA,62,1487,1392,53,28.1,106.8,92,9,0,131,58,49,51,301.1,1313,29,4.36,45.3,62.3,0,127,4,63,19,0,
35,T Brits,AFRICA,12,229,424,12,19.1,54,48,0,0,33,1,72.4,35,794,787,27,29.4,100.9,70,7,90,8,45.6,2,0,
43,M kapp,AFRICA,21,643,693,13,49.5,92.8,73,4,0,76,5,49.8,26,218.3,920,33,4.21,27.9,39.7,1,93,2,67,12,0,
46,Heather Knight,ENGLAND,33,1070,1336,29,36.9,80.1,101,8,1,111,5,51.9,13,44,244,10,4.52,24.4,32.4,0,21,0,54.3,12,0,
47,Alice capsey,ENGLAND,7,127,138,7,18.1,92,40,0,0,19,1,55.8,3,12,56,1,4.67,56,72,0,4,0,47.2,3,0,
48,Sophie Ecclestone,ENGLAND,26,246,341,18,13.7,72.1,33,0,0,17,3,52.8,37,345,1287,58,3.73,22.2,35.7,1,123,9,65.7,15,0,
49,Tammy Beaumont,ENGLAND,37,1357,1855,34,39.9,73.2,119,9,3,157,4,58.1,0,0,0,0,0,0,0,0,0,0,0,15,3,
50,Nat Scivar-Brunt,ENGLAND,3,271,289,2,135.5,93.8,129,0,2,29,1,42.9,3,24.5,120,3,4.83,40,49.7,0,9,0,51,4,0,
52,Danni Wyatt,ENGLAND,33,929,918,28,33.2,101.2,129,4,2,91,18,46.3,0,0,0,0,0,0,0,0,0,0,0,14,0,
53,Emma Lamb,ENGLAND,9,336,363,9,37.3,92.6,102,2,1,48,0,52.9,5,18,96,3,5.33,32,36,0,11,0,48.1,2,0,
58,Kate Cross,ENGLAND,18,173,225,16,10.8,76.9,29,0,0,19,1,56.4,33,256.3,1200,50,4.68,24,30.8,1,150,6,65.2,15,0,
59,Sophia Dunkley,ENGLAND,29,770,930,27,28.5,82.8,107,5,1,75,4,50.6,1,0.3,1,1,2,1,3,0,0,0,133.3,3,0,
60,Sarah Glenn,ENGLAND,4,42,62,3,14,67.7,22,0,0,3,0,54.8,11,82.5,363,14,4.38,25.9,35.5,0,29,3,54.7,1,0,
61,Nigar Sultana,ASIA,16,364,670,16,22.8,54.3,73,1,0,20,3,63.7,0,0,0,0,0,0,0,0,0,0,0,15,5,
62,Rumana Ahmed,ASIA,12,167,261,10,16.7,64,50,1,0,19,0,64.4,14,80.3,291,13,3.61,22.4,37.2,0,19,1,60,6,0,
63,Nahida Akter,ASIA,12,54,137,7,7.7,39.4,25,0,0,4,0,74.5,20,242.4,909,27,3.75,33.7,53.9,1,47,3,54.4,4,0,
64,Jahanara Alam,ASIA,6,33,49,3,11,67.3,11,0,0,3,0,53.1,18,188,884,16,4.7,55.2,70.5,0,82,3,57,2,0,
74,Salma Khatun,ASIA,9,115,143,5,23,80.4,32,0,0,9,0,51,14,204.2,780,34,3.82,22.9,36.1,1,20,4,52.4,2,0,
76,Inoka Ranaweera,ASIA,9,47,159,7,6.7,29.6,12,0,0,3,0,77.4,13,108.4,512,12,4.71,42.7,54.3,0,38,4,50.3,0,0,
77,Sugandika Kumari,ASIA,4,17,48,3,5.7,35.4,10,0,0,1,0,70.8,7,50,296,6,5.92,49.3,50,0,27,3,52,1,0,
78,Inoshi Priyadharshani,ASIA,0,0,0,0,0,0,0,0,0,0,0,0,1,7,28,0,4,0,0,0,2,0,57.1,0,0,
79,Chamari Athapaththu,ASIA,15,815,762,13,62.7,107,140,1,5,94,27,52.2,11,43.3,234,7,5.38,33.4,37.3,0,17,3,45.6,1,0,
80,Oshadi Ranasinghe,ASIA,11,88,170,10,8.8,51.8,23,0,0,5,0,61.2,13,97.5,513,20,5.24,25.6,29.4,1,32,10,47.2,4,0,
91,Nida Dar,ASIA,25,646,965,22,29.4,66.9,87.7,7,0,53,6,56.9,28,218.2,953,27,4.36,35.3,48.5,0,83,7,59,15,0,
92,F Sana,ASIA,25,237,367,20,11.8,64.6,28,0,0,19,1,57.5,30,213,1100,45,5.14,24.4,28.5,1,130,1,61.3,5,0,
93,Muneeba Ali,ASIA,24,657,1018,23,28.6,64.5,107,2,1,78,3,64.1,0,0,0,0,0,0,0,0,0,0,0,15,3,
96,Nashra Sandhu,ASIA,15,46,116,6,7.7,39.7,11,0,0,2,0,67.2,25,221.4,953,34,4.3,28,39.1,0,83,8,58.3,15,0,
98,Diana Baig,ASIA,22,165,212,17,9.7,77.8,35,0,0,14,1,52.4,28,189,866,21,4.58,41.2,54,0,100,4,66.3,13,0,
106,Hayley Mathews,AFRICA,34,1008,1415,33,30.5,71.2,119,2,3,110,6,59.9,36,294.4,1132,53,3.84,21.4,33.4,0,92,5,61.7,20,0,
107,Stefanie Taylor,AFRICA,82,2339,3216,74,31.6,72.7,114,14,3,233,35,60.2,70,389.5,1848,58,4.74,31.9,40.3,0,148,33,58.5,30,0,
108,Deandra Dottin,AFRICA,24,897,1118,23,39,80.2,150,3,2,113,15,61.4,11,32.3,189,3,5.82,63,65,0,20,1,57.4,13,0,
109,Rashada Williams,AFRICA,23,386,778,20,19.3,49.6,78,2,0,32,2,69.5,0,0,0,0,0,0,0,0,0,0,0,6,1,
114,Aaliyah Alleyne,AFRICA,17,129,280,13,9.9,46.1,27,0,0,12,0,71.1,18,101,495,14,4.9,35.4,43.3,0,50,2,70.3,6,0,
121,Sophie Devina,AUSTRALIA,35,1632,1755,49,33.3,93,660,2,3,169,7,43.6,28,167.5,829,23,4.94,36,43.8,0,90,10,68,38,0,
122,Suzie Bates,AUSTRALIA,30,1732,2398,41,42.2,72.2,816,6,3,101,0,48,6,11.3,73,1,6.35,73,69,0,4,1,44.9,17,0,
129,Hayley Jensen,AUSTRALIA,22,237,328,21,11.3,72.3,53,1,0,28,1,59.5,25,146.1,776,21,5.31,37,41.8,0,85,7,58,1,0,
131,Amelia Kerr,AUSTRALIA,33,1380,1895,26,53.1,72.8,352,5,3,95,3,49.9,32,268.4,1264,31,4.7,40.8,52,0,103,10,54.2,18,0,
132,Jess Kerr,AUSTRALIA,19,141,138,14,10.1,102.2,28,0,0,16,2,46.4,24,181.1,728,32,4.02,22.8,34,0,71,3,65.1,5,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
