NAME,COUNTRY,INNINGS,RUNS,BALLSFACED,OUTS,AVG,STRIKERATE,HIGHESTSCORE,FIFTIES,HUNDREDS,FOURS,SIXES,DOTPERCENTAGE,BOWLINGINNINGS,OVERS,BOWLINGRUNS,WICKETS,ECONOMY,BOWLINGAVG,BOWLINGSTRIKERATE,FIFERS,BOWLINGFOURS,BOWLINGSIXES,BOWLINGDOTPERCENTAGE,CATCHES,STUMPING
Ravindra Jadeja,1,15,414,494,8,51.8,83.8,66,2,0,27,9,48.4,19,156,823,15,5.28,54.9,62.4,0,54,21,47.2,9,0
Axar Patel,1,11,231,205,7,33,112.7,64,2,0,10,13,36.6,12,84.3,413,13,4.89,31.8,39,0,33,10,53.6,8,0
Ravichandran Ashwin,1,61,707,813,43,16.4,87,65,1,0,60,7,46,111,1023.4,5058,151,4.94,33.5,40.7,0,307,114,51.9,3,0
Jasprit Bumrah,1,6,28,50,2,14,56,14,0,0,3,0,64,14,133,687,18,5.17,38.2,44.3,1,67,8,59.9,0,0
Mohammad Shami,1,11,71,81,6,11.8,87.7,23,0,0,5,3,51.9,23,177.2,1066,35,6.01,30.5,30.4,0,128,21,59.8,5,0
Mohammad siraj,1,23,539,591,27,20,91.2,51,2,0,48,13,49.2,39,473.2,2565,102,5.42,25.1,27.8,5,258,61,61.6,5,0
Shardul Thakur,1,18,276,255,14,19.7,108.2,50,1,0,29,7,43.1,30,221,1381,44,6.25,31.4,30.1,0,132,39,56.1,3,0
Washington Sunder,1,9,233,272,8,29.1,85.7,51,1,0,17,6,50,14,86,435,16,5.06,27.2,32.2,0,31,14,54.3,4,0
Kuldeep Yadav,1,10,55,80,6,9.2,68.8,17,0,0,4,0,50,30,255.5,1454,41,5.68,35.5,37.4,0,92,50,48.7,7,0
Dhananjaya De Silva,2,31,857,1011,28,30.6,84.8,93,6,0,88,5,51.2,29,167,801,22,4.8,36.4,45.5,0,45,12,46.9,21,0
Chamika Karunaratne,2,22,442,546,16,27.6,81,75,1,0,31,8,51.8,21,120.5,692,24,5.73,28.8,30.2,0,62,9,53,5,0
Lahiru Kumara,2,10,36,78,7,5.1,46.2,11,0,0,4,1,78.2,18,125.5,745,26,5.92,28.7,29,0,90,10,58,4,0
Kasun Rajitha,2,10,63,114,6,10.5,55.3,17,0,0,8,0,72.8,16,123.4,688,24,5.56,28.7,30.9,0,83,10,64.3,2,0
Dunith Wellalge,2,7,109,141,6,18.2,77.3,32,0,0,9,3,56.7,8,51,303,9,5.94,33.7,34,0,26,5,45.8,3,0
Wanindu Hasaranga,2,35,769,684,29,26.5,112.4,80,4,0,70,25,44.6,38,336.4,1632,58,4.85,28.1,34.8,3,113,39,52.9,11,0
Mahesh Theekshana,2,11,88,171,5,17.6,51.5,28,0,0,3,0,61.4,22,184,799,36,4.34,22.2,30.7,0,63,9,59.5,2,0
Shakib Al Hasan,3,28,888,1093,25,35.5,81.2,96,6,0,86,4,50,26,236,974,45,4.13,21.6,31.5,2,66,17,57.3,7,0
Mehidy Hasan Miraz,3,29,560,715,24,23.3,78.3,100,1,1,48,12,55.4,40,318.1,1547,53,4.86,29.2,36,0,107,42,53.9,15,0
Mustafizur Rahman,3,17,58,92,8,7.2,63,18,0,0,8,0,68.5,35,266.4,1312,45,4.92,29.2,35.6,0,125,19,60.8,10,0
Mossadek Hossain,3,7,110,176,7,15.7,62.5,51,1,0,6,2,57.4,10,52,259,3,4.98,86.3,104,0,21,5,54.5,4,0
Shoriful Islam,3,8,38,44,6,6.3,86.4,16,0,0,3,2,61.4,17,124.4,698,26,5.6,26.8,28.8,0,61,23,58.4,1,0
Taskin Ahmed,3,14,108,166,10,10.8,65.1,21,0,0,9,4,66.9,26,217.1,1059,35,4.88,30.3,37.2,1,104,20,63.2,4,0
Shaheen Afridi,4,9,83,94,5,16.6,88.3,23,0,0,8,3,60.6,17,149.2,827,30,5.54,27.6,29.9,1,97,13,58.3,3,0
Naseem Shah,4,2,3,11,1,3,27.3,3,0,0,0,0,72.7,8,73,345,23,4.73,15,19,2,28,34,62.3,1,0
Mohammad Wasim,4,7,57,59,6,9.5,96.6,17,0,0,3,3,47.5,14,109.1,581,24,5.32,24.2,27.3,0,59,8,57.9,1,0
Haris Rauf,4,7,11,42,4,2.8,26.2,7,0,0,1,0,81,22,188.3,1103,39,5.85,28.3,29,0,110,16,53.2,2,0
Usama Mir,4,3,38,26,3,12.7,146.2,20,0,0,2,3,32.3,6,58,307,10,5.29,30.7,34.8,0,22,2,44.5,1,0
Hasan Ali,4,6,83,52,4,20.8,159.6,32,0,0,6,7,46.2,7,55.4,382,9,6.86,42.4,37.1,1,47,5,58.4,5,0
Shadab Khan,4,11,294,278,9,32.7,105.8,86,1,0,17,10,43.2,15,134.5,759,17,5.63,44.6,47.6,0,48,18,45.5,3,0
Faheem Ashraf,4,7,56,65,6,9.3,86.2,23,0,0,5,1,52.3,8,57.1,316,3,5.53,105.3,114.3,0,31,7,53.6,2,0
